Source,Target,PassengerNumber,ComplaintsNumber
30886,61349,2,2
32084,61349,9,3
33739,5483,1,1
33739,5483,1,1
35055,61349,1,1
35056,61349,2,1
35139,61349,14,5
37562,61349,215,21
60213,5483,2,1
60226,5483,20,1
60290,61349,76,7
60292,61349,37,10
60379,5483,50,1
61417,61349,54,8
65299,61349,198,20
65300,61349,42,5
65384,61349,30,3
65388,61349,31,5
34202,41694,1,1
34202,41694,1,1
41478,43008,1,1
41478,43008,1,1
41479,43008,5,1
41479,43008,5,1
43008,43008,5,1
43008,43008,5,1
43008,41694,5,1
43008,41694,5,1
43008,43008,5,1
43008,43008,5,1
20050,42932,2,1
20050,42932,2,1
20050,42932,2,1
20050,42932,2,1
20051,42932,3,1
20051,42932,3,1
20051,42932,3,1
20051,42932,3,1
24068,42932,1,1
24068,42932,1,1
24068,42932,1,1
24068,42932,1,1
34202,42932,3,1
34202,42932,3,1
34202,42932,3,1
34202,42932,3,1
21161,48139,7,1
30359,48139,1,1
30359,48139,1,1
30359,48139,1,1
32269,48139,18,3
32269,48139,18,3
32269,48139,18,3
34238,40847,1,1
34238,40847,1,1
34238,40079,1,1
37269,48139,3,1
37269,48139,3,1
37269,48139,3,1
40110,40846,6,2
40110,48139,6,2
40110,40847,6,2
40110,40847,6,2
40110,48139,6,2
40110,48139,6,2
40110,40079,6,2
40240,40847,4,1
40240,40847,4,1
40757,40847,1,1
40757,40847,1,1
40851,40847,1,1
40851,40847,1,1
40964,40847,10,1
40964,40847,10,1
42658,40847,2,1
42658,40847,2,1
46183,40846,3,1
46183,48139,3,1
46183,48139,3,1
46183,48139,3,1
4170,638,1,1
30254,32734,1,1
4170,638,287,11
4170,638,287,11
42154,42154,22,6
42624,638,1,1
42624,638,1,1
42657,638,5,1
42658,42154,3,1
638,638,4,1
640,46133,1,1
4170,638,116,5
46132,46133,27,3
20746,42684,3,2
20747,42932,2,1
20747,42932,2,1
30136,42684,15,4
30136,42932,15,4
30136,42932,15,4
30136,42932,15,4
34063,42932,3,2
34063,42932,3,2
35377,42932,5,1
35377,42932,5,1
37269,42932,2,2
37269,42932,2,2
37655,42932,6,2
37655,42932,6,2
37861,42684,6,2
40752,42684,3,1
42658,42684,8,2
2566,63691,13,2
2566,63691,13,2
6102,63691,24,2
6102,63691,24,2
60642,63691,2,1
60642,63355,2,1
60642,63691,2,1
63384,63355,2,1
63604,63691,5,1
63604,63355,5,1
63604,63691,5,1
638,5523,10,1
4170,5523,7,2
30136,37785,16,3
31745,37785,14,3
32422,5523,3,1
32422,33711,3,1
35128,37785,1,1
37269,37785,8,1
37269,5523,8,1
37269,33711,8,1
38134,37785,2,1
20207,32569,5,1
27044,32569,2,1
55208,55084,5,1
647,647,2,2
4216,647,15,2
55084,55084,3,1
55099,55084,1,1
55103,55084,6,1
4170,638,220,10
46098,46142,3,1
46121,46142,1,1
46142,46142,5,1
52174,46142,583,23
55043,46142,11,4
55505,46142,5,1
56695,46142,20,1
23055,27063,15,4
26520,27063,5,1
27044,27063,5,1
41781,41782,1,1
42715,41782,7,2
42717,41782,2,2
43060,41782,17,4
51858,46142,3,1
58454,46142,0,1
638,638,12,3
647,638,370,12
50905,53781,147,9
51838,53781,3,1
56245,53781,122,9
56247,53781,36,6
56477,53781,75,7
56481,638,1,1
56483,53781,1,1
58454,53781,2,1
4170,638,156,5
52152,638,2,1
52152,46142,2,1
52152,638,2,1
52174,638,20,3
52174,46142,20,3
52174,638,20,3
55326,46142,15,3
55401,46142,10,1
56020,638,2,2
56020,638,2,2
57001,46142,15,4
57120,46142,14,3
638,638,43,6
640,55498,1,1
4170,638,96,6
40322,55498,23,6
43009,55498,167,13
52257,55498,4,2
55498,55498,20,3
3114,60036,7,3
4170,60036,18,4
52363,60808,14,3
52363,60808,14,3
52590,60808,3,1
52590,60808,3,1
53602,60808,25,6
53602,60808,25,6
55054,60808,1,1
55054,60808,1,1
55579,60808,1,1
56755,60808,1,1
56755,60808,1,1
56760,60036,13,2
57001,60808,7,2
57061,60808,8,5
57062,60808,1,1
57066,60808,12,2
57068,60808,1,1
57069,60808,5,3
57072,60808,1,1
57076,60808,2,1
57085,60808,3,1
57453,60036,0,1
58031,60036,15,1
60009,60808,6,2
60009,60808,6,2
60033,60036,3,1
60034,60808,10,1
60034,60808,10,1
60423,60036,6,2
60424,60808,15,1
60424,60808,15,1
60516,60808,32,4
60516,60808,32,4
60532,60036,40,1
61189,60036,5,1
61189,60808,5,1
61189,60808,5,1
63932,60808,3,1
63932,60808,3,1
638,638,3,2
4170,638,41,5
50200,56202,11,3
51240,56202,32,3
54133,56202,7,2
54134,638,5,1
54135,56202,21,4
54165,56202,1,1
54244,56202,194,9
54245,638,1,1
54248,56202,5,2
54249,56202,30,3
54267,56202,20,1
56202,56202,1,1
57001,56202,117,8
57120,56202,142,10
57121,56202,39,6
57123,56202,39,8
57124,56202,4,1
57126,56202,40,6
51466,56202,7,1
3114,60036,16,3
52790,60808,8,2
52790,60808,8,2
52794,60808,30,1
52794,60808,30,1
52806,60808,4,3
52806,60808,4,3
52937,60808,1,1
52937,60808,1,1
53064,60808,15,1
53184,60036,4,1
53184,60808,4,1
54319,60036,2,1
54319,60808,2,1
57070,60808,3,1
57070,60808,3,1
57076,60808,1,1
57076,60808,1,1
57079,60808,1,1
57079,60808,1,1
60425,60036,3,1
4170,638,17,3
5949,638,24,3
53084,638,1,1
53084,638,1,1
58746,638,1,1
58746,638,1,1
20059,32569,140,14
20075,32569,56,10
20094,54133,2,1
20330,32569,76,7
20340,32569,38,5
21161,32569,301,26
26520,32569,175,15
26554,32569,130,16
27063,32569,20,5
28525,54133,20,1
32569,32569,62,11
52485,32569,2,1
52499,54133,11,3
54133,54133,22,3
54244,54133,12,4
57001,54133,15,3
57114,54133,24,6
57121,54133,19,2
57123,54133,4,1
57125,54133,5,1
57133,54133,1,1
57134,54133,3,2
57143,54133,50,5
57144,54133,1,1
57184,54133,4,2
57185,54133,8,2
57188,54133,2,1
57190,54133,2,2
57192,54133,7,2
58119,32569,1,1
58124,32569,10,1
59045,54133,24,6
20207,34202,56,9
20207,34202,56,9
20330,34202,24,2
20330,34202,24,2
20340,34202,5,1
20340,34202,5,1
21161,34202,22,5
21161,34202,22,5
21370,34202,11,1
21370,34202,11,1
21597,34202,60,8
21597,34202,60,8
22980,34202,11,3
22980,34202,11,3
23055,34202,9,2
23055,34202,9,2
26520,34202,42,5
26520,34202,42,5
27044,34202,26,5
27044,34202,26,5
27063,34202,5,1
27063,34202,5,1
28525,34202,2,1
28525,34202,2,1
28525,41210,2,1
28525,41210,2,1
34202,34202,10,1
34202,34202,10,1
41209,34202,82,14
41209,34202,82,14
41209,41210,82,14
41209,41210,82,14
41210,34202,45,7
41210,34202,45,7
41210,41210,45,7
41210,41210,45,7
41249,34202,21,4
41249,34202,21,4
41249,41210,21,4
41249,41210,21,4
41576,34202,1,1
41576,34202,1,1
41576,41210,1,1
41576,41210,1,1
41704,34202,41,2
41704,41210,41,2
41704,41210,41,2
42137,34202,30,6
42137,34202,30,6
42137,41210,30,6
42138,34202,2,2
42138,34202,2,2
42138,41210,2,2
42499,34202,11,2
42499,34202,11,2
42499,41210,11,2
42499,41210,11,2
42695,34202,37,7
42695,34202,37,7
42695,41210,37,7
42695,41210,37,7
42698,34202,45,8
42698,34202,45,8
42698,41210,45,8
42698,41210,45,8
43684,34202,10,1
43684,34202,10,1
43684,41210,10,1
43684,41210,10,1
47206,34202,6,1
47206,34202,6,1
47206,41210,6,1
47206,41210,6,1
647,647,38,4
647,647,38,4
2007,647,91,2
2007,647,91,2
40322,40322,10,5
40322,40322,10,5
41208,40322,78,14
41208,40322,78,14
41249,40322,5,3
41249,647,5,3
41249,647,5,3
41249,40322,5,3
41575,40322,2,2
41575,647,2,2
41575,647,2,2
41575,40322,2,2
41576,40322,57,5
41576,647,57,5
41576,647,57,5
41576,40322,57,5
41704,40322,8,6
41704,647,8,6
41704,40322,8,6
42137,40322,6,2
42137,647,6,2
42137,647,6,2
42138,40322,1,1
42138,647,1,1
42138,647,1,1
42499,40322,7,2
42499,647,7,2
42499,647,7,2
42499,40322,7,2
42695,40322,133,12
42695,647,133,12
42695,647,133,12
42695,40322,133,12
42698,40322,56,12
42698,647,56,12
42698,647,56,12
42698,40322,56,12
43077,40322,176,25
43077,40322,176,25
43684,40322,33,8
43684,647,33,8
43684,647,33,8
43684,40322,33,8
47206,40322,18,2
47206,647,18,2
47206,647,18,2
47206,40322,18,2
31156,38525,5,1
35550,38525,4,2
35585,38525,20,1
35594,38525,6,1
35627,38525,5,2
35628,38525,5,1
38530,38525,7,1
38597,38525,9,1
41208,41208,5,1
43077,41208,3,1
30100,30851,2,1
39296,30851,18,2
39296,41704,18,2
39300,30851,4,2
39300,41704,4,2
42162,30851,11,2
42162,41704,11,2
42695,30851,5,1
42695,41704,5,1
42698,30851,1,1
42698,41704,1,1
41210,47392,1,1
41210,54146,1,1
42137,47392,15,2
42137,54146,15,2
42695,47392,43,6
42695,54146,43,6
51188,47392,30,1
51188,54146,30,1
56383,54146,31,2
20059,27063,251,9
20075,27063,10,1
20330,27063,17,3
21109,30856,30,2
21109,27063,30,2
21109,42410,30,2
21161,27063,79,9
21631,42410,3,1
26520,27063,29,4
26554,27063,13,4
27063,27063,25,3
30856,30856,14,5
34202,27063,122,19
34202,42410,122,19
40322,30856,12,3
40752,30856,8,2
41464,30856,8,1
41522,27063,11,4
41522,42410,11,4
41694,27063,22,2
41694,42410,22,2
42154,27063,14,3
42154,42410,14,3
42409,30856,39,8
42410,27063,109,19
42410,42410,109,19
42932,27063,3,2
42932,42410,3,2
42933,30856,16,4
50723,30856,1,1
51015,30856,1,1
51044,30856,6,1
51068,30856,1,1
51070,27063,6,2
51070,42410,6,2
51079,30856,1,1
51231,30856,3,1
51231,27063,3,1
51231,42410,3,1
51236,30856,1,1
51236,27063,1,1
51236,42410,1,1
51257,30856,1,1
51257,27063,1,1
51257,42410,1,1
51568,30856,5,2
51663,30856,3,1
51664,30856,78,6
52256,27063,4,1
52256,42410,4,1
52257,30856,12,3
53585,30856,5,1
58002,30856,6,1
58004,30856,30,3
58860,27063,2,1
58860,42410,2,1
20059,47207,455,17
20075,47207,19,7
20330,47207,5,2
21109,53269,5,1
21109,47207,5,1
21161,47207,89,10
26520,47207,100,11
26554,47207,106,8
26583,53269,15,1
27063,47207,42,5
32569,47207,7,2
51012,47207,1,1
51015,53269,11,3
51044,53269,4,1
51068,53269,1,1
51079,53269,32,5
51090,53269,10,2
51129,53269,5,1
51231,53269,6,2
51231,47207,6,2
51257,53269,1,1
51257,47207,1,1
51699,53269,7,6
53168,53269,19,5
53585,53269,20,3
53639,53269,4,2
58004,53269,4,2
58005,53269,7,1
58006,53269,4,3
647,647,100,5
4216,647,27,8
50562,56142,1,1
51015,56142,4,1
51102,56142,5,1
51239,647,4,1
51239,56142,4,1
51664,56142,56,7
53230,647,1,1
53393,56142,3,1
54247,647,4,2
55125,647,5,1
55253,56142,104,4
55326,56142,17,3
55356,56142,10,1
55401,56142,209,11
55510,56142,5,1
56013,647,5,1
56020,647,5,1
56142,647,3,1
56142,56142,3,1
57027,647,5,1
58002,56142,1,1
20059,32569,58,4
20075,32569,31,5
21109,56142,6,2
21109,32569,6,2
21109,56142,6,2
21161,32569,46,10
26520,32569,46,6
26554,32569,12,4
27063,32569,10,1
32569,32569,35,3
52400,56142,3,1
52400,56142,3,1
53585,56142,2,1
53603,56142,5,1
53603,56142,5,1
53663,56142,7,2
53663,32569,7,2
53663,56142,7,2
54229,56142,4,1
54229,32569,4,1
54229,56142,4,1
55253,56142,13,2
55253,56142,13,2
55326,56142,5,2
55326,56142,5,2
55400,32569,2,1
55401,56142,7,2
55401,56142,7,2
12286,19180,2,1
12287,19180,1,1
12289,19180,12,1
12291,19180,54,3
12295,19180,14,2
12296,19180,18,3
19911,19180,10,1
5353,47207,32,3
5430,47207,1,1
51015,53269,6,1
51044,53269,3,1
51068,53269,11,2
51090,53269,5,1
53168,53269,10,1
53498,47207,16,2
53498,53269,16,2
53663,47207,15,1
53663,53269,15,1
58010,53269,1,1
51230,43208,4,2
42658,30136,10,1
11616,19757,2,1
647,647,35,6
1540,40322,30,2
1540,40322,30,2
4216,647,27,7
41523,40322,4,1
41523,40322,4,1
41526,40322,6,2
41526,40322,6,2
41749,647,6,4
41749,40322,6,4
41749,40322,6,4
41844,40322,34,4
41844,40322,34,4
42325,647,31,4
42325,40322,31,4
42325,40322,31,4
42327,40322,136,5
42327,40322,136,5
42628,647,14,3
42628,40322,14,3
42628,40322,14,3
43088,40322,1,1
43088,40322,1,1
43420,40322,13,5
43420,40322,13,5
46207,647,31,5
46207,40322,31,5
46211,40322,37,4
46211,40322,37,4
46213,647,6,2
46213,40322,6,2
46213,40322,6,2
47085,647,3,1
47086,647,4,1
53344,40322,30,3
53344,40322,30,3
53364,40322,18,3
53364,40322,18,3
42715,40322,2,1
20207,41694,27,4
20330,41694,48,7
20340,41694,10,1
21161,41694,103,12
21370,41694,18,2
21597,41694,21,4
22980,41694,4,2
23055,41694,34,4
26520,41694,5,3
27044,41694,26,4
27085,40322,20,1
28525,41694,1,1
28525,40322,1,1
34202,41694,55,9
40322,40322,3,2
41523,40322,76,9
41526,40322,12,4
41545,41694,3,1
41694,41694,7,2
41744,41694,3,1
41749,41694,59,10
41749,40322,59,10
41781,40322,11,2
41844,40322,68,9
42324,41694,19,6
42324,40322,19,6
42325,41694,34,5
42325,40322,34,5
42327,41694,5,1
42327,40322,5,1
42400,40322,2,1
42628,41694,53,7
42628,40322,53,7
42716,40322,10,1
42717,40322,1,1
43060,40322,5,2
43088,40322,30,7
43089,41694,2,1
43420,40322,1,1
46211,40322,63,9
46213,41694,23,6
46213,40322,23,6
46951,41694,2,1
46953,41694,8,3
46954,41694,46,2
46954,40322,46,2
47084,41694,4,1
47086,41694,30,1
53344,41694,36,9
53344,40322,36,9
53364,40322,24,7
53369,41694,0,1
647,647,2,2
4216,647,110,7
41523,42400,6,1
41526,42400,1,1
41782,42400,1,1
41844,42400,10,2
42324,647,10,2
42324,42400,10,2
42400,42400,1,1
42628,647,10,1
42628,42400,10,1
42715,42400,10,5
42716,42400,7,1
42717,42400,5,2
43060,42400,3,1
43088,42400,23,2
53344,647,1,1
53344,42400,1,1
41095,47724,1,1
41698,47724,8,1
41750,42659,10,2
41750,42659,10,2
42338,47724,5,1
42659,42659,1,1
42828,42659,5,1
42866,47724,24,3
43087,47724,1,1
42149,47335,2,1
47912,42755,3,1
41227,41019,5,1
41281,47528,1,1
42866,47528,5,1
42866,47528,5,1
40410,63620,3,1
60777,47426,10,1
60777,63620,10,1
61207,47426,1,1
61207,63620,1,1
50904,58025,5,1
51970,58025,8,3
55137,58025,27,6
57001,57004,1,1
57001,57004,1,1
57002,57004,5,1
57002,57004,5,1
57051,57004,1,1
57051,57004,1,1
58159,58025,1,1
58163,58025,6,2
59054,58025,1,1
57664,59423,2,1
51564,59423,1,1
52688,59423,2,2
52688,59414,2,2
57664,59423,25,3
51567,52114,2,1
51567,52114,2,1
58533,52133,1,1
58533,52720,1,1
41220,41704,4,1
41220,41210,4,1
3230,3114,1,1
5854,3114,1,1
590,5483,20,1
609,5483,1,1
610,5483,6,1
1331,5483,10,2
1450,5483,2,1
2778,5483,18,2
2778,5523,18,2
5200,5523,5,1
20698,22555,1,1
21672,22555,1,1
33220,22555,2,1
34401,21415,2,1
36391,21415,11,2
480,6206,16,2
573,6206,2,1
575,6206,10,1
577,6206,19,2
579,6206,4,1
582,6206,30,2
635,6206,5,1
5199,6206,30,1
5356,6206,12,2
6200,6200,5,1
60075,6200,2,2
60080,6200,1,1
60084,6200,1,1
60086,6200,1,1
60087,6200,4,1
60159,6206,2,1
60162,6206,10,1
15551,15397,1,1
15551,15397,1,1
15552,15397,3,1
15552,15397,3,1
15605,15486,1,1
463,3375,10,1
463,3375,41,3
463,2922,41,3
3375,3375,10,1
3375,3375,10,1
3375,2922,10,1
4171,2922,5,1
60790,4009,10,1
60790,3375,10,1
60790,3375,10,1
60790,2922,10,1
61203,3375,10,1
61203,2922,10,1
61328,4009,12,1
61328,3375,12,1
61328,3375,12,1
61328,2922,12,1
61397,4009,8,1
61397,3375,8,1
161,61466,1,1
1552,61466,17,3
1556,64006,1,1
3142,61466,30,1
4116,61466,2,2
5131,61466,26,3
5668,61466,1,1
60663,64006,10,1
60704,64006,6,1
60709,64006,1,1
463,3375,30,1
3374,3375,4,1
60970,3375,1,1
60970,4009,1,1
61202,4009,15,1
40064,41533,6,2
40064,41533,6,2
41539,47392,1,1
41539,47392,1,1
41539,47392,1,1
41539,47392,1,1
42468,47392,3,1
42468,47392,3,1
42468,47392,3,1
42468,47392,3,1
42571,47392,5,1
42571,47392,5,1
42571,47392,5,1
42571,41533,5,1
42571,41533,5,1
42571,47392,5,1
42571,41533,5,1
42571,41533,5,1
43008,47392,19,2
43008,47392,19,2
43008,47392,19,2
43008,41533,19,2
43008,41533,19,2
43008,47392,19,2
43008,41533,19,2
43008,41533,19,2
43069,41533,3,1
43069,41533,3,1
43069,41533,3,1
43069,41533,3,1
5396,6206,4,1
6203,6206,1,1
9812,6200,5,1
9812,6206,5,1
60102,6200,11,2
60194,6200,3,1
63884,6206,10,1
63888,6200,72,5
60684,3061,1,1
63544,3007,42,3
63544,3061,42,3
6102,3022,7,1
61137,61055,2,1
61316,61055,1,1
61332,3022,1,1
61332,61055,1,1
65273,61055,2,1
1731,3022,2,1
1927,3022,3,1
60921,3022,5,1
60921,60826,5,1
3035,3022,66,5
4216,3022,10,1
5905,60826,4,1
63494,60826,3,1
647,647,20,2
1828,5610,1,1
2473,5610,4,1
2473,5610,4,1
2479,5610,10,2
2479,5610,10,2
3444,647,5,1
3444,5610,5,1
3444,5610,5,1
3457,5610,4,1
3457,5610,4,1
3667,647,3,1
3667,647,3,1
3667,5602,3,1
3667,5602,3,1
5200,647,15,1
5200,647,15,1
1286,5610,1,1
1826,647,1,1
1826,5610,1,1
1828,647,5,1
1828,5610,5,1
2353,5610,2,2
1106,647,1,1
1828,647,1,1
1828,5845,1,1
20058,25439,2,2
20058,21324,2,2
20183,25439,1,1
20183,21324,1,1
21095,25439,20,1
21095,21324,20,1
21560,20139,1,1
21560,25742,1,1
22974,25439,8,1
22974,21324,8,1
23055,20139,3,2
23055,25742,3,2
26127,25439,7,1
26127,21324,7,1
26394,25439,1,1
26394,21324,1,1
26505,20139,5,2
26505,25742,5,2
31434,20139,25,2
31434,25742,25,2
32904,20139,88,7
32904,25742,88,7
21109,36430,21,5
21109,33432,21,5
21109,33432,21,5
21109,33432,21,5
21711,36430,12,1
22942,36430,30,1
25114,36430,60,3
31100,36430,3,3
31219,36430,5,1
31241,33432,7,1
31250,33432,48,3
31250,33432,48,3
32115,33432,1,1
32115,33432,1,1
32277,36430,2,2
33432,33432,6,1
33432,33432,6,1
33432,33432,6,1
34063,36430,1,1
36099,33432,1,1
37136,33432,2,2
37136,33432,2,2
37136,33432,2,2
37506,33432,19,2
37506,33432,19,2
37506,33432,19,2
37792,33432,5,1
37792,33432,5,1
38141,36430,90,2
38144,33432,16,2
38144,33432,16,2
38144,33432,16,2
41477,57343,2,1
41477,54196,2,1
43058,50048,2,1
43066,57343,1,1
43066,54196,1,1
54718,50048,10,2
57850,51850,2,1
57850,51850,2,1
57850,43083,2,1
57850,43083,2,1
31671,21109,1,1
31671,21109,1,1
36634,38128,1,1
42938,52378,4,2
42938,52378,4,2
50261,52378,1,1
50261,52378,1,1
50261,43083,1,1
50261,43083,1,1
52093,52378,3,1
52093,52378,3,1
52093,43083,3,1
52093,43083,3,1
52097,52378,58,5
52097,52378,58,5
52097,43083,58,5
52097,43083,58,5
52098,52378,6,4
52098,52378,6,4
52098,43083,6,4
52098,43083,6,4
58414,52378,5,1
58414,52378,5,1
58414,43083,5,1
58414,43083,5,1
51704,41464,2,1
1122,1415,10,1
3114,1415,1,1
61178,60878,5,1
30168,32011,1,1
39659,39627,8,1
31165,38525,20,1
32279,31745,1,1
32283,31745,4,3
32284,31745,15,5
32446,31745,7,2
32800,31745,3,1
35291,31745,7,1
35552,38525,8,2
35566,38525,1,1
35587,38525,31,2
35594,38525,6,2
38591,38525,10,1
38597,38525,13,3
34075,60688,5,2
34216,60688,8,1
60273,60688,69,4
60290,60688,67,6
60290,60688,67,6
60352,60688,5,1
60573,60688,21,3
60573,60688,21,3
61109,60688,3,1
61109,60688,3,1
61113,60688,5,1
61115,60688,99,5
63655,60688,3,1
32019,38193,2,1
32269,38193,40,1
54199,52620,2,1
54199,59567,2,1
638,647,10,1
647,647,0,1
1106,647,10,1
5200,647,12,3
5531,5602,1,1
5531,5602,1,1
5554,5602,1,1
5554,5602,1,1
5556,5602,19,5
5556,5602,19,5
5603,647,10,1
5626,5602,1,1
5626,5602,1,1
647,647,1,1
647,647,1,1
5520,5524,8,2
5520,5524,8,2
5520,647,8,2
5520,647,8,2
155,647,6,3
638,647,5,1
647,647,29,3
1232,647,10,2
1556,647,17,3
4075,647,42,6
5538,647,6,1
5538,640,6,1
5538,640,6,1
5539,647,1,1
5539,640,1,1
5539,640,1,1
5546,640,29,5
5546,640,29,5
5551,640,10,2
5551,640,10,2
5552,647,1,1
5552,640,1,1
5552,640,1,1
5662,647,20,4
5662,640,20,4
5662,640,20,4
5666,647,51,7
5538,5523,100,6
5538,20068,100,6
5539,5523,77,2
5539,20068,77,2
5540,5523,27,2
5540,20068,27,2
5541,5523,10,1
5541,20068,10,1
5543,5523,20,1
5546,5523,6,2
20055,5523,9,1
21109,5523,5,1
21109,20068,5,1
21258,20068,9,4
21558,20068,16,2
21560,20068,6,1
22277,20068,9,1
22282,20068,2,1
22942,20068,30,5
22972,20068,15,2
23051,5523,5,1
23053,20068,13,2
23055,20068,2,1
23060,5523,10,1
23064,20068,44,6
5552,37562,61,2
5552,5542,61,2
37562,37562,10,1
60290,37562,4,2
65138,37562,23,2
2035,5589,1,1
5459,5589,2,1
5459,5508,2,1
21365,20068,1,1
21560,20068,30,2
22282,20068,3,1
22942,20068,45,2
23055,20068,15,1
26516,20068,3,2
21109,20068,12,1
21258,20068,6,3
22273,20068,40,1
22277,20068,22,3
33664,33740,7,1
34017,33740,1,1
60290,33740,8,1
60292,33740,13,4
60298,33740,1,1
60308,33740,8,1
65156,33740,12,1
65158,33740,1,1
65162,33740,7,1
31494,37785,3,1
34017,34021,2,1
21109,34021,12,3
21109,20068,12,3
22942,20068,3,1
25114,20068,1,1
34004,34021,10,1
34063,20068,4,2
37442,37779,3,1
37506,33286,9,1
20068,20068,11,4
20068,20068,11,4
21109,20068,36,6
21258,20068,14,3
21560,20068,12,4
21560,20068,12,4
22273,20068,40,1
22273,20068,40,1
22276,20068,4,1
22276,20068,4,1
22277,20068,46,8
22277,20068,46,8
22282,20068,37,4
22282,20068,37,4
22942,20068,317,10
22942,20068,317,10
22972,20068,9,5
22972,20068,9,5
23064,20068,51,8
23064,20068,51,8
26402,20068,1,1
26402,20068,1,1
26516,20068,1,1
26516,20068,1,1
27043,20068,25,2
27043,20068,25,2
34017,34021,1,1
34017,34021,1,1
34021,34021,1,1
34021,34021,1,1
35056,34021,7,2
35056,34021,7,2
35079,20068,3,1
35079,20068,3,1
60202,34021,1,1
60202,34021,1,1
60203,34021,6,2
60203,34021,6,2
60210,34021,10,1
60210,34021,10,1
60212,34021,9,2
60212,34021,9,2
60213,20068,10,1
60213,20068,10,1
60214,34021,1,1
60214,34021,1,1
60216,34021,107,4
60216,34021,107,4
60217,34021,10,1
60217,34021,10,1
60261,34021,10,2
60261,34021,10,2
60262,34021,30,3
60262,34021,30,3
60290,34021,40,1
60290,34021,40,1
60292,34021,3,1
60292,34021,3,1
60298,34021,15,2
60298,34021,15,2
60383,34021,20,1
60383,34021,20,1
60388,34021,38,4
60388,34021,38,4
63979,20068,0,1
63979,20068,0,1
65156,34021,40,3
65156,34021,40,3
65161,34021,7,3
65161,34021,7,3
65299,34021,3,1
65299,34021,3,1
65387,20068,0,1
65387,20068,0,1
31503,32221,20,1
6102,428,15,3
60221,428,10,1
60221,61081,10,1
63706,428,11,1
63706,61081,11,1
65323,428,11,2
65323,61081,11,2
427,428,5,1
6101,61081,1,1
6101,61081,1,1
6102,428,26,5
60236,428,1,1
60236,61081,1,1
60236,61081,1,1
61468,428,7,3
61468,61081,7,3
61468,61081,7,3
65332,428,34,3
65332,61081,34,3
65332,61081,34,3
65373,61081,2,1
65373,61081,2,1
184,224,8,1
551,224,1,1
9800,224,1,1
60069,60152,10,1
60074,60152,1,1
60080,60152,1,1
33175,30060,4,1
33189,35803,4,1
33473,30060,1,1
34027,30060,3,2
34028,30060,1,1
34030,30060,4,1
34033,30060,2,1
34034,30060,1,1
34953,30060,1,1
35095,35803,1,1
36077,35803,3,2
36397,30060,1,1
36406,35803,1,1
37134,35803,2,1
37090,36598,1,1
25542,27246,10,1
25564,27246,5,1
845,6071,3,1
3120,5998,20,1
60080,60152,80,3
60083,60152,26,3
60086,60152,5,1
60102,60152,3,1
60152,60152,1,1
63888,60152,5,1
20068,20068,2,1
20068,20068,2,1
21230,33740,10,1
21230,34021,10,1
21560,20068,34,3
21560,20068,34,3
21684,20068,25,1
21684,20068,25,1
22273,20068,7,1
22273,20068,7,1
22276,20068,133,15
22276,20068,133,15
22277,20068,89,8
22277,20068,89,8
22942,20068,217,6
22942,20068,217,6
22972,20068,30,2
22972,20068,30,2
23062,33740,8,1
23062,34021,8,1
23064,20068,73,11
23064,20068,73,11
26402,20068,33,6
26402,20068,33,6
26484,20068,61,6
26484,20068,61,6
26516,20068,5,2
26516,20068,5,2
35056,33740,2,1
35056,34021,2,1
35078,20068,3,1
35078,20068,3,1
60021,33740,12,2
60021,34021,12,2
60256,33740,20,3
60256,34021,20,3
60257,33740,18,2
60257,34021,18,2
60258,33740,10,1
60258,34021,10,1
60266,33740,5,1
60266,34021,5,1
60290,33740,5,1
60290,34021,5,1
60292,33740,18,2
60292,34021,18,2
60312,33740,67,8
60312,34021,67,8
60313,33740,22,3
60313,34021,22,3
60318,20068,10,1
60318,20068,10,1
60327,33740,16,1
60327,34021,16,1
61375,33740,10,1
61375,34021,10,1
61414,33740,5,1
61414,34021,5,1
63480,33740,7,3
63480,34021,7,3
65138,33740,4,1
65138,34021,4,1
65278,33740,2,1
65278,34021,2,1
65279,33740,17,3
65279,34021,17,3
65303,33740,7,1
65303,34021,7,1
65411,20068,5,1
65411,20068,5,1
58593,55505,1,1
58666,55505,24,2
20050,21425,1,1
20050,21425,1,1
20051,21425,9,1
20051,21425,9,1
20348,39751,3,1
20348,39751,3,1
20658,21425,2,1
20658,21425,2,1
21035,21425,6,1
21100,21425,21,2
21303,21425,61,7
21615,21425,5,1
21615,21425,5,1
22935,21425,19,4
22935,21425,19,4
24068,21425,93,6
24068,21425,93,6
25552,21425,1,1
25552,21425,1,1
25564,21425,5,1
25564,21425,5,1
25575,21425,1,1
25575,21425,1,1
25634,21425,22,7
32734,39751,2,2
32734,39751,2,2
34924,39751,8,1
34924,39751,8,1
37205,39751,4,1
37205,39751,4,1
37207,39751,4,1
37207,39751,4,1
11011,11011,9,3
11056,11011,123,4
11060,11011,23,4
11357,11011,3,1
11358,11011,8,1
11359,11011,17,4
11361,11011,5,1
11362,11011,5,1
11363,11011,9,2
11364,11011,14,3
11365,11011,10,1
11571,11011,1,1
11856,11011,44,1
31090,11011,35,5
33602,11011,22,3
34276,11011,18,4
35247,35679,36,2
35249,35679,10,1
35253,35679,15,1
35560,35679,5,1
35594,35679,5,1
37785,35679,10,1
38582,11011,38,2
38908,35679,3,1
11802,15508,50,1
12071,15508,0,1
12071,15508,0,1
12073,15508,3,1
12073,15508,3,1
