Id,Label
228,Shatner Center/Kanfe Nesharim
229,Beit Inbar/Kanfe Nesharim
230,Rosenthal/Kanfe Nesharim
232,Katzenelbogen/Ma'alot Boston
234,Dvar Yerushalayim/Katzenelbogen
235,Vizhnitz Yeshiva/Katzenelbogen
236,Katzenelbogen/HaPla'a
237,Kfar Shaul/Katzenelbogen
239,Volcan College/Jericho Road
241,Oz Police
242,HaPisga/Torah Ve'Avoda
244,Jericho Road/Al-Waffa
246,Omar Ben El'as Junction
253,T. Adin/P.Dalman
254,Ministry of Justice/Salah al Din
255,Ministry of Justice/Salah al Din
256,Derekh Schem/Louis Vincent
257,Derekh Schem/Louis Vincent
258,Tedi – East Parking
260,Al-Mashahid/Al-Shifa
261,Al-Muqaffa/Halima al-Sa'diya
263,Derekh Schem/Tobler
264,Derekh Schem/Tobler
265,A-Sakakini School
266,Gazil Junction
268,Abu Rabia/Barazani
272,Al-Muqaffa/Deir al-Amud
273,Sha'ulson/Rosenthal
274,Al-Halifa A-Rashidi/Al-Muntar
275,Abu Hamd Jazali School
276,Beit Inbar/Kanfe Nesharim
277,Shatner Center/Kanfe Nesharim
278,Engel/Kanfe Nesharim
279,Farbstein/Beit Hadfus
280,Ha'Admor MiLubavitch/Druck
282,Hazon Ish/HaAdmor MiLubawitch
283,Al-Rahman Mosque/Abu Ubaidah
284,Kehilot Ya'akov
285,Umm Lisun Road A
286,Umm Lisun Road C
287,Mt.-Zion Parking
289,Muntar
290,HaRav Bezalel Zolti/Hazon Ish
291,Meir Hadash/Hazon Ish
292,Meir Hadash/Igrot Moshe
293,Igrot Moshe/HaRav Uzi Kalchheim
294,Igrot Moshe/Hazon Ish
295,Igrot Moshe/Hazon Ish
296,Neriya HaNavi/Ahiya HaShiloni
297,Shopping Center/Yirmiyahu HaNavi
298,Baby Care/Yirmiyahu HaNavi
299,Yehezkel HaNavi/Ahiya HaShiloni
300,HaRav Bezalel Zolti/Hazon Ish
301,HaRav Bezalel Zolti
302,HaRav Bezalel Zolti/Rabbi Shlomo Zalman Druk
304,Druck
305,Druck/Kehilot Ya'akov
306,Kehilot Ya'akov
307,Birkat Avraham
308,Yehezk'el HaNavi/Yirmiyahu
309,Yehezkel HaNavi/Havakuk HaNavi
310,Yehezkel HaNavi/Yona Ben Amitay
311,Hayarden River/Hayarkon River
312,Ha'Admor MiLubavitch/Druck
313,Saint John Hospital
314,Saint John Hospital
315,HaCongress HaTzioni/Reccanati
316,Reccanati/Ben Ze'ev
317,Reccanati/Idelzon
318,Reccanati/HaMeshorer Atsag
321,Hayarden River/Nahal Refa'im
322,Nehar HaYarden/HaNatsiv
323,Hayarden River/Nahal Shimshon
324,Hayarden River/Nahal Shimshon
326,Yehuda Ben Ze'ev Boulevard/HaShuk Square
327,HaHida/HaHafetz Haim
328,HaHida/Ben Zion Abba Shaul
329,Ramot/Sulam Ya'akov
330,Ramot/Ma'oz
331,Shivat Zion/Louis Lipski
332,Shivat Zion/Tlalim
333,Shivat Zion/Tlalim
334,Shivat Zion/Shirat HaYam
335,Ramot/Ma'oz
336,Ramot/Sulam Ya'akov
337,HaHida/Levi Eshkol Blvd
338,HaHida/Ben Zion Abba Shaul
339,Ben Ish Hay/Hefets Hayim
342,Road 375/3855
343,Oren/Dolev
344,Lotem
345,HaCongress HaTzioni/Golda
346,Gas Station/Lohme HaGeta'ot
347,Gas Station/Lohme HaGeta'ot
348,Lotem
349,Hare Yehuda Blvd/Mt. Kitron
350,HaMem Gimel/Zikhron Y'akov
351,Mt. Kitron/Dror
352,Panim Me'irot
353,Hare Yehuda Blvd/Shalmon
354,Hare Yehuda Blvd/Shalmon
356,Rekhassim/Ha'Ela
358,Eliyahu Hakim/Meir Feinstein
359,Eliyahu Hakim/Meir Feinstein
360,Eliyahu Hakim/Eli'ezer Kashani
361,Eliyahu Hakim/Gershon Avner
362,HaZikaron/Herzl Boulevard
363,Ma'agale Harim Levin/Mevo Petaya
365,Ma'agale Harim Levin/Ma'alot Dushinsky
366,Ma'agale Harim Levin/Mevo HaShalom VeHa'Ahdut
367,Ma'agale Harim Levin/Ha'Admorim MiGur
368,Ma'agale Harim Levin/Ha'Admorim MiGur
369,Ma'agale Harim Levin/Mevo HaShalom VeHa'Ahdut
370,Ma'agale Harim Levin/Ma'alot Dushinsky
371,Ma'agale Harim Levin/Ha'Admor MiSanz
372,Ma'agale Harim Levin/Mevo Petaya
373,HaMefaked
374,Levi Eshkol Boulevard/Yehuda Ben Ze'ev Boulevard
375,National Police Academy
378,Neve Ya'akov Junction/Bait Hanina Road
380,Bait Hanina Road/Hizme Road
381,Lions Gate/Jericho Road
382,Terminal/Sultan Suleiman Street C
383,HaNevi'im Terminal/HaNevi'im
386,Amiram Sivan/Ya'akov Schreiboim
387,Ringelblum A
388,HaMem Gimel/Yirmiyahu
391,Ha'Etzel/Dakar
392,Lehi/HaHitnadvuyot
394,Katzir/Churchill Blvd
399,Ringelblum A
400,Dekalim School/Bar Kokhba
401,Hayarkon River/Hayarden River
402,Har'el Interchange/Exit
403,Road 3985/Ha'Ela
404,Abd al-Rahman/HaShalom Road
405,Abd al-Rahman/Daud Abdallah
406,Abd al-Rahman/Daud Abdallah
407,Nahal Hakishon/Nahal Sorek
408,Abd al-Rahman/HaWadi
409,Abd al-Rahman/HaWadi
410,Abd al-Rahman 49
411,Abd al-Rahman 48
412,Bet Arabesk
413,Abd al-Rahman 28
414,Abd al-Rahman 29
415,Abd al-Rahman/Haj Othman
417,Hazon Ish/Or Hayim
418,Abd al-Rahman/Haj Othman
419,HaShalom Pais School
420,HaShalom Pais School
422,Bne Omyah
423,Abd al-Rahman/Bet Habad
424,Abd al-Rahman/HaShoshan
425,Al Mukadsi/Al-Mutanabi
426,704
427,Katzir/Clermont Ganneau
428,Yitshak HaNadaiv/Wadi Joz
429,Ministry of Interior Affairs/Wadi Al Joz
430,Bne Omyah/Ministry of Interior Affairs Junction
431,Ministry of Interior Affairs/Wadi Al Joz
432,Wadi Al Joz
433,Wadi Al Joz/Uthman Ibn Affan
434,Jericho Road/HaOfel Road
435,Rockefeller Muesum/Al-Muqadasi
436,Wadi Al Joz/Al-Muqadasi
437,Al-Muqadasi/Wadi Al Joz
438,Tomb of Sheikh Ahmed
439,Rashida School/Sultan Suleiman
440,Football Field/Al-Basatin
442,Middle School/Tariq Almadaras
443,Middle School/Tariq Almadaras
444,Primary School/Sayarat Al-Haja
445,Primary School/Sayarat Al-Haja
446,Kasila/Mahjarat Atma
447,Kasila/Mahjarat Atma
448,Kasila/Um Al-Assafir
449,Kasila/Um Al-Assafir
450,Arba'in Mosque/Kasila
451,Arba'in Mosque/Kasila
452,Al-Amal School for Special Education/Ras Al-Jamia
453,Kupat Holim/Ras Al-Jamia
454,Tomb of Sheikh Ahmed
455,Zahara A Intersection
456,Zahara B Intersection
457,Issawiya Western Entry
458,Mevo Betar Intersection
459,Arab-Jewish Center
460,HaRav Avraham David Rosenthal
462,HaRav Avraham David Rosenthal
463,Shazar Avenue/International Convention Center
464,Hazon Ish/Birkat Avraham
465,Nof Tsiyon/Haim Kovarski
466,Rav HaHovel/Adam
467,Nahal Refa'im/Yitshak Moda'i
468,En Ya'el
469,Shopping Center/Neve Ya'akov Blvd
470,Ringelblum B
471,Central Station/Yafo
474,Center/Harel
480,Nehar HaYarkon Blvd/Eliyahu HaNavi
481,Issawiya Western Entry
482,Anata Checkpoint/Anatot Road
483,Al Asma'i V
484,Al Asma'i H
485,Al-Asma'i/Al-Zubayr Ibn al-A'wam
486,Al-Asma'i/Al-Zubayr Ibn al-A'wam
491,Rockefeller Muesum/Sultan Suleiman
492,Tsahal Tunnel/HaTsanhanim
495,Al-Tawal/Sharafat
496,Al-Tawal/Sharafat
499,Al Butma
500,Al-Butma/Sharafat Street
501,Al-Tawahid/Al-Butma
503,Bet Safafa High School/A-Nahada
504,Bet Safafa High School/A-Nahada
506,Village Unification Bypass
510,HaRozmarin/Tunnels Road
511,Hevron Road/Asher Viner
513,Hevron Road/HaTnufa
514,HaBankim Junction/Hevron Road
515,Hevron Road/Dani'el Yanovski
516,Hevron Road/Esther HaMalka
517,Hevron Road/Nomi
518,Cinematheque/Hebron Road
520,Mamila/Agron
522,Hativat Yerushalayim/Yitshak Kariv
523,Cinematheque/Hebron Road
524,Hevron Road/Hanoch Albeck
525,Hevron Road/Esther HaMalka
526,Hevron Road/Yanovsky
527,HaBankim Junction/Hevron Road
531,Al Butma
534,A Saffa Al Butma
536,Oren/Brosh
537,Oren/Havatselet
538,Oren/Vered
539,Herzog/HaShoshan
540,Zano'ah Intersection
541,Shmu'el HaNavi/Fishel
543,Bar Ilan/Rabenu Gershom
544,Zilberg/Kadish Luz
545,Zilberg/Kadish Luz
546,Zano'ah Intersection
547,Herzl Boulevard/Har Herzl
548,Yefe Nof/Herzl Boulevard
549,Bet Safafa/Al-Madrasa Al-Jadida
551,HaPisga/HaRashdam
554,HaRav Frank/HaPisga
555,Kiryat No'ar/HaRav Frank
557,Bayit VaGan/HaRav Alfiyeh
558,HaPisga/Tsvi LaZadik
559,HaPisga/Torah Ve'Avoda
560,Kibbutz Nahshon
562,Ben Ze'ev/38
563,Ben Gurion Blvd/HaDekel Blvd
564,Ben Ze'ev/Rashi
565,Bet Israel/Sfat Emet
566,Sfat Emet/Chaim HaLevi
567,Sfat Emet/Bet Ya'akov
568,Hazon Ish/Sfat Emet
569,Hazon Ish/Avraham
570,Moshe Baram Junction
571,Rashi/Hazon Ish
572,Ma'apile Egoz/Rashi
573,Nahar HaYarden Blvd/HaRav Rerzog Blvd
574,Nehar HaYarden Blvd/Kdushat Aharon
575,Nehar HaYarden Blvd/HaAdmor MeBelz
576,Nahar HaYarden Blvd/Rabbi Yehuda HaNasi
577,Nahar HaYarden Blvd/Rabbi Levitas
578,Talmud Torah Magen Avot/Hayarden River
579,Nehar HaYarden Blvd/Rival
580,Nahal Kishon Blvd B
581,Nahal Hakishon/Nahal Sorek
582,Nahal Sorek/Nahal Hakishon
583,Nahal Sorek/Mishmar Creek
584,Nahal Sorek/Nachshon Creek
585,Nahal Sorek/Lakhish
586,Nahal Ayalon/Nahal Sorek
588,Nahal Luz/HaYarkon
589,Nahal Luz/Achziv Creek
590,Nahal Luz/Nahal Refa'im
591,Nahal Ayalon/Nahal Dolev
592,Nahal Dolev/Elon
593,Nahal Dolev/HaBsor Creek
594,Nahal Dolev/Nahal Mata
595,Nahal Dolev  A
596,Nahal Dolev/Nahal Katlab
597,Matnas/Nahal Dolev
598,Nahal Dolev/Katlav
599,Nahal Dolev/Timn'a Creek
600,Nahal Dolev/Maor Creek
601,Nahal Sorek/Nahal Lakhish
602,Nahal Sorek/Nachshon Creek
603,Nahal Sorek/Nahal Uriya
604,Zanuah Quarries
605,Nahal Kishon Blvd A
606,Nahar HaYarden Blvd/Rabbi Yohanan Ben Zakay
607,Hayarden River/Rabbi Me'ir Ba'al HaNes
608,Nahar HaYarden Blvd/Rabbi Yehuda HaNasi
609,Nahar HaYarden Blvd/Rabbi Yehosha
610,Nehar HaYarden Blvd/HaAdmor MeBelz
611,Nahar HaYarden Boulevard/Rabbi Pinhas Ben Ya'ir
612,Ma'apile Egoz/HaRav Herzog
613,Ma'apile Egoz/Rashi
614,Rashi/Hazon Ish
615,Ben Ze'ev/Rabin
616,Yehuda Ben Ze'ev Blvd/David Razi'el
617,Ben Ze'ev/HaDekel
618,Ben Ze'ev/38
623,Ben Zvi Blvd/HaRav Shmuel Barukh
624,HaTsayar Ludwig Blum
625,Ma'ale HaShalom/Bate Mahase
626,HaMuze'onim Boulevard/Eliezer Kaplan
627,Yona Ben Amitay/Elisha HaNavi
630,Yona Ben Amitay 19
631,Yona Ben Amitay 16
632,Yona Ben Amitay/Yehezkel HaNavi
634,Nahar HaYarkon Boulevard/Yesha'yahu HaNavi
635,Nahar HaYarkon Boulevard/Nahal Luz
636,Nehusha Intersection
638,Hemed Interchange
639,Nahshon Junction
640,Hemed Interchange
643,Har'el Interchange/HaHotsvim Blvd
644,HaHayil/Nehage HaPredot Passage
645,Weizmann/Giv'at Sha'ul
646,Al-Jam'iya/Al-Tafatif
647,Ben Gurion/She'are Yerushalayim
648,Yig'al Allon Blvd/3855
649,Yig'al Allon Blvd/3855
651,Yig'al Allon Blvd/Ben Ish Hay
652,Bet Safafa Primary School/Al-Bara'am
653,Yig'al Allon Blvd/Levi Eshkol Blvd
654,Yig'al Allon Blvd/Levi Eshkol Blvd
657,Yona Ben Amitay/Elisha HaNavi
658,Yona Ben Amitay/Yish'ayahu HaNavi
659,Yeshayahu HaNavi/Dvora HaNevia
660,Yeshayahu HaNavi/Shmuel HaNavi
661,Har Hotzvim Terminal/HaMarpeh
663,Yeshayahu HaNavi/Shmuel HaNavi
664,Horev Yeshiva/Golda Meir Boulevard
665,Yeshayahu HaNavi/Tiferet Naftali
666,Shmu'el HaNavi/Bar Ilan
669,David Tuviyahu BLVD./Sokolov
670,HaRav Herzog Blvd/Rabi Yossi Ben Kisma
672,Mount of Olives
673,Mount of Olives
674,Nahal HaKishon Blvd/Nahal HaYarkon Blvd
680,Checkpoint 300/Bethlehem Road
681,Hevron Road/HaRozmarin
682,HaRozmarin/A Safa
684,Jabel Mukaber 2
693,Neve Ya'akov Junction/Ramallah Road
699,Atarot/Exit
700,Road 45/Atarot Airport Road
702,Al-Quds Newspaper/Airport Road
703,Al-Quds Newspaper/Airport Road
704,Airport Road/Ramallah Road
705,Atarot Industrial Zone Southren Entry
707,Iman School/Marj Ibn Amar
712,Jisr a-Natif/Al-Hadabiya
720,Yits'hak Mirski/Binyamin Mintz
721,Iskandar Huri Street
731,HaZetim Junction
732,HaZetim Junction
733,Inbar/Al-Kilya
734,Sheikh Anbar
735,Sheikh Inbar
736,Sheikh Anbar
737,A-Tur Primary School/Sheikh Anbar
738,Sheik Inbar-Sahal Intersection
739,Beit Fadj
740,Chapel of the Ascension/Rabi'a Al-Adawiya
741,Kupat Holim/Rabi'a Al-Adawiya
742,A-Tur Junction/Rabi'a Al-Adawiya
743,Augusta Victoria Hospital/Martin Buber
744,A-Tur Junction/A Tur Road
745,A-Tur Junction/A Tur Road
746,Cemetery/Jabel Mukaber Road
747,Zala'a School/Jabel Mukaber Road
748,Jabel Mukaber
749,Zala'a 1
750,Kupat Holim/Jabel Mukaber
751,Ein a-Luza Junction/Jabel Mukaber Road
752,Volcan College/Jericho Road
753,Ma'alot Ir David
755,Yevus Center/Ein a-Luza
760,Bir Ayub/A-Thuri
761,Girls Prepatory School/A-Thuri
762,Ahmad Samih Khalid School/A-Thuri
764,A-Thuri/Abu Tor Road
767,Abu Tor/Na'omi
768,Jabel Mukaber
769,Sheikh Sa'd G
770,Sheikh Sa'd B
771,Al-Rahman Mosque/A-Zala'a
772,Qunbar/American Road
773,Hai Al-Madaris/Jam'a a-Zawia
774,Jabel Mukaber 1
775,Schools/Abu Rabia
777,Schools/Abu Rabia
778,A-Nawars/A-Nadi
780,Al-Majad School/Al-Ihtiram
799,Ein a-Luza Junction/A-Zala'a
800,ICC Jerusalem/HaNassi HaShishi
801,Abu Tor B
802,HaMefaked/Abu Tor
803,Ein Karem Agricultural School
804,A-Thuri
805,Beko'a Interchange
806,Girls School/Al-Thawri
809,Jabel Mukaber
812,A-Thuri/Al-Hara A-Sharkiya
813,Ha'Erez/HaBrosh
814,Ha'Erez/Tiltan
815,Yevus Center/Ein a-Luza
816,Jericho Road/Al-Sheikh
817,Ma'alot Ir David/HaShiloah Road
819,Ma'alot Ir David
821,37
822,Jabel Mukaber Road
823,Cemetery/Jabel Mukaber Road
824,Ha'Erez/HaDekel
825,Al-Bara'a Medical Center/A-Zala'a
826,A-Zala'a Mosque
828,Yits'hak Mirski/Binyamin Mintz
829,Ein a-Luza Junction/Ein Luza
831,Chapel of the Ascension/Rabi'a Al-Adawiya
832,Muqassed Hospital/Rabaa Al-Adawiya
833,Makassed Hospital Main Entry/Rabi'a Al-Adawiya
834,Al-Shuyyakh A
835,Al-Shuyyakh A
836,Al-Shuyyakh B
837,A-Sheikh/Beit Fadj
838,A-Sheikh/Beit Fadj
839,Pagi House/Al Harduv Intersection
840,Ha'Erez/Ha'Alon
841,Makassed Hospital Northern Entry/Rabi'a Al-Adawiya
842,Comprehensive Boys School/Rabi'a Al-Adawiya
843,A-Tur Junction/Sheikh Anbar
844,Tipat Halav/A-Sahl Al-Jadid
845,Al-Safa/Al-Salam
846,Sheikh Anbar/Al-Kala
847,Beit Fadj
848,A-Sahl Aljadid/Al-Hardub
849,A-Sahl Aljadid/Al-Hardub
850,Tipat Halav/A-Sahl Al-Jadid
851,Kupat Holim Clalit/A-Sahl Al-Jadid
852,Kupat Holim Clalit/A-Sahl Al-Jadid
853,Sheikh Anbar Junction/A-Sahl AL-Jadid
854,Sahal 4
857,A-Zaytuna/Al-Akaba
858,A-Zaytuna/Al-Akaba
859,Al-Zaytuna/Al-Mirwaha
860,Iman School/Marj Ibn Amar
862,Fire Station/A Tur Road
863,A Tur Road/Al-Qais
864,Hilal Hospital/Abrahamya College
865,Hilal Hospital/Abrahamya College
866,The Open University/A Tur Road
867,Mormon University/A Tur Road
868,Mormon University/A Tur Road
869,Agusta Victoria Hospital/Alight
870,Ma'ale Ha'Erez/HaShaked
874,Bait Hanina Road/Al Abbas
875,Gan Eden Square/Bait Hanina Road
877,Yits'hak Mirski/Elimelech MeLizhensk
878,Coll?ge des Fr?res/Taha Hussein
879,Bet Hanina Road/Dajani
880,Iskandar Huri Street
881,Taha Hussein/Al-Buhturi
882,Neve Ya'akov Junction/Ramallah Road
883,Helen Keller School/Ramallah Road
885,Yits'hak Mirski/Elimelech MeLizhensk
886,Dahiat al-Barid/Ramallah Road
887,Dahiat al-Barid/Ramallah Road
891,Al-Bara'a Medical Center/A-Zala'a
893,Zala'a/American Road
894,Costa Rica C
896,Zala'a/American Road
897,American Rd.7/Mecca
898,Costa Rica G
899,Hai Al-Madaris/Srur
900,Jabel Mukaber 3
901,American Rd. 8
902,Sheikh Sa'ad/American Road
903,Eretz Hefetz/Shim'on HaTsadik
904,Yits'hak Mirski/Golda Meir Blvd
905,Shmu'el HaNavi/Zachs
906,Yits'hak Mirski/Golda Meir Blvd
909,Costa Rica B
910,HaShalom Road/HaOzrad
911,HaShalom Road/HaMashtela
913,Shimshon Interchange West
914,Shimshon Interchange North
915,Costa Rica D
916,Costa Rica A
917,HaRakefet/HaSavyon
918,Granit/Yahalom
919,HaRakefet
921,HaRakefet/Harepublica Hadominikanit
922,Harepublica Hadominikanit/Rakefet
923,HaSayfan
924,Dahomey/HaSayfan
926,Yoram Pichi Ben Meir
927,Dahomey/Harepublica Hadominikanit
929,Nicaragua/Hahartsit
930,Yitshak Sade
931,Sold/Mexico
932,Golomb/Bolivia
933,Fishman Park/Golomb
937,Hevroni/Brazil
938,Philip Leon Center/Sold
939,Tahon/Borochov
940,Borochov/Kleinman
941,Chile/Sereni
942,Fishman Park/Golomb
943,Hevroni/Brazil
944,Olsvanger/Hevroni
945,Olsvanger B
946,Olsvanger A
947,Shahal/Herzog
948,Shahal B
949,Herzog/Nayot
950,Shahal B
951,Shahal/Herzog
952,Shahal/HaRav Gold
953,Shahal A
954,Shahal/Heller
955,Borochov/Kleinman
956,Levona/HaTsuf
957,Colombia
958,Szold Institute/Colombia
959,Kana'e HaGalil/Yehuda HaNassi
960,Kana'e HaGalil/Ben Ya'ir
962,Yehuda HaNassi/Bne Btera
964,Olsvanger A
965,Olsvanger B
966,Olsvanger/Hevroni
967,Alin Hospital/Olsvanger
968,Alin Hospital/Olsvanger
969,San Martin/Bar Yohay
970,San Martin/Golomb
971,En Kerem/Berkeley
972,Hakfar Hashvedi/Sold
973,Commercial Center/Shahal
975,Shahal A
976,Uziel/Mihlin
977,Uziel/Mevo Uri
978,Herzog/Nayot
979,En Kerem/Herzl Blvd
980,En Kerem/Berkeley
981,Israel Museum/Wise
982,Haft Square/Herzl Boulevard
986,Herzl Boulevard/Yitshak Rabin Boulevard
988,Kiryat Moshe/Herzl Boulevard
989,Kiryat Moshe/Herzl Boulevard
990,Kiryat Moshe/HaMe'iri Blvd
991,Kiryat Moshe/HaMe'iri Blvd
992,Rabbi Israel Nejara/Yonathan Ben Uziel
993,Beit Hadfus/Becky
995,Bet HaShenhav/Beit Hadfus
996,Yemin Avot
999,Uziel/Mevo Frenkel
1001,Uziel/Mihlin
1002,Bayit VaGan/Herzl Boulevard
1003,HaRav Center/HaRav Tsvi Yehuda
1004,Bet HaShenhav/Beit Hadfus
1005,Sapir Center/Beit Hadfus
1006,Afarsemon/Mevo Ktora
1007,Leib Yoffe/Revadim
1008,Ben Yo'ezer/Kana'e HaGalil
1009,Ben Yo'ezer/Ben Baba
1010,En Gedi/Efrata
1011,Kore HaDorot/Bet Ha'Arava
1012,Yehuda HaNassi/Bne Btera
1013,Ben Zakai/Ben Baba
1014,Bne Btera/Ben Zakai
1015,Ben Zakai/Ben Baba
1016,Bne Btera/Ben Zakai
1017,Ben Zakai/Dostai
1018,Ben Yo'ezer/Antigonus
1019,Ben Yo'ezer/Eli'ezer HaGadol
1020,Ben Yo'ezer/Ben Baba
1021,Ben Zakai/Ben Gamla
1022,Ben Zakai/Pierre Koenig
1024,Ben Zakai/Pierre Koenig
1025,Ben Zakai/Ben Gamla
1026,El'azar Hamoda'i/Reish Lakish
1027,Bethlehem Road/Esther HaMalka
1028,Pierre Koenig/Helets
